start_station_id,total_trips,max_trip_duration_mins,min_trip_duration_mins,avg_trip_duration_mins
JC099,458,493.82,1.07,9.412009
JC063,147,255.85,1.37,16.530476
JC034,473,80.63,1.72,9.521924
HB506,977,86.45,1.13,8.244104
JC019,567,1178.50,1.07,13.521182
JC065,349,246.90,1.73,8.332436
HB611,1028,1075.13,1.05,9.694776
JC038,503,60.98,1.02,7.783181
JC006,914,1400.53,1.05,10.113534
HB409,828,73.65,1.42,6.367669
HB502,1427,74.82,1.12,6.893644
JC098,914,818.52,1.05,11.568315
JC104,812,1499.68,1.17,12.197697
HB202,1244,1072.12,1.03,10.052259
HB203,808,126.77,1.15,10.447290
HB302,691,35.30,1.02,5.528596
JC020,684,67.58,1.38,8.006535
JC066,1600,943.83,1.05,9.707863
JC078,561,221.65,1.60,10.899626
HB401,808,74.55,1.02,6.795099
JC076,536,111.60,1.27,7.562295
JC032,959,929.05,1.02,10.364390
HB105,1780,1499.93,1.03,7.973506
HB602,1195,314.23,1.03,7.416561
JC097,386,105.17,1.05,8.634819
HB601,1157,113.23,1.10,6.117684
JC108,74,432.20,3.35,44.507973
HB501,1397,1499.87,1.23,7.373830
HB201,973,1499.88,1.03,10.781357
JC081,754,125.48,1.03,7.734973
JC052,1056,1499.75,1.03,13.579328
HB301,888,45.48,1.05,5.498390
JC094,300,1499.83,1.15,13.968767
JC055,754,200.67,1.22,6.559257
HB505,845,92.50,1.08,7.307065
JC072,857,1499.93,1.02,9.702637
JC074,639,109.80,1.02,6.228654
JC027,548,52.43,1.02,6.111934
JC057,530,1499.92,1.03,13.919509
HB402,1071,80.25,1.02,6.098590
HB608,699,1170.93,1.15,8.903591
JC102,843,240.40,1.03,8.574804
JC103,766,62.37,1.38,7.459034
JC024,475,359.78,1.87,10.897579
HB508,605,514.43,1.35,7.290926
JC051,152,433.82,1.27,27.535329
JC009,1536,226.73,1.07,7.808249
JC008,1278,1499.92,1.15,12.171268
JC002,646,89.60,1.02,9.403762
HB609,1368,1499.65,1.02,7.956016
JC084,323,412.62,1.05,15.532817
JC080,314,166.90,1.02,10.344904
JC107,57,314.25,1.15,18.622281
HB407,837,68.45,1.38,6.106057
JC075,502,597.50,1.10,7.896355
JC023,996,1053.18,1.15,8.793926
JC095,430,105.07,1.43,7.828465
JC022,561,46.75,1.87,7.958556
HB101,1710,136.62,1.02,6.798690
HB102,3846,884.50,1.02,6.879264
JC116,1517,1499.67,1.13,10.763191
HB603,1407,559.77,1.23,6.445451
HB303,1070,91.55,1.02,5.665785
JC109,1558,201.57,1.03,6.921804
JC035,788,1256.80,1.05,9.266269
JC082,935,65.32,1.03,6.346556
JC053,489,542.80,2.48,14.172822
JC003,974,250.18,1.02,8.528172
JC093,346,385.25,1.23,7.912225
JC013,1134,667.83,1.02,8.599356
JC018,225,91.48,1.05,13.795378
JC110,677,1499.93,1.17,15.378419
HB408,956,1499.87,1.18,8.229655
JC014,1225,103.12,1.12,8.980490
HB103,1284,951.33,1.05,11.312702
JC105,1131,197.20,1.22,8.085447
HB304,921,406.62,1.02,7.078067
JC115,3281,532.25,1.02,7.004803
HB404,745,577.42,1.12,6.820403
JC059,298,311.93,1.02,10.691812
HB610,471,82.32,1.13,7.177580
JC077,332,189.45,1.18,9.798404
HB305,1093,738.03,1.02,7.812342
